ID	ATP7A	FDX1	LIAS	LIPT1	DLD	MTF1	CDKN2A	Cluster
GSM2449790_Treat	7.534081	6.616756	6.291267	6.977228	7.622196	8.517366	4.631675	C1
GSM2449791_Treat	7.564044	6.912486	6.648756	7.45474	7.713832	8.094784	4.718824	C2
GSM2449792_Treat	7.063439	7.057636	6.750166	7.411427	7.701574	7.790023	4.684516	C2
GSM2449793_Treat	6.981661	6.244713	6.394063	6.079034	7.45474	8.905048	5.012242	C1
GSM2449794_Treat	7.254107	6.919123	6.764279	7.684871	7.654719	7.846148	4.588388	C2
GSM2449795_Treat	7.38366	6.703075	6.432305	7.162557	7.862567	8.040902	4.50662	C1
GSM2449796_Treat	7.338343	6.529646	6.545657	6.942058	7.764924	8.37502	4.554645	C1
GSM2449797_Treat	7.719912	6.795603	6.628656	7.17298	7.923735	8.270597	4.492814	C1
GSM2449798_Treat	7.682362	6.477777	6.278035	6.97892	7.466578	8.578351	4.638047	C1
GSM2449799_Treat	6.975864	6.395646	6.364459	7.091276	7.32488	8.00917	4.644062	C1
GSM2449800_Treat	7.246382	7.374422	6.542375	8.045024	7.918032	7.561991	4.585961	C2
GSM2449801_Treat	7.828697	6.861325	6.516988	7.062653	7.919046	8.35915	4.652522	C1
GSM2449802_Treat	7.608923	6.59188	6.599872	7.234029	7.682362	8.366108	4.495289	C1
GSM2449803_Treat	7.279394	7.314241	6.544321	7.656421	7.816939	8.038234	4.747126	C2
GSM2449804_Treat	7.477668	7.023919	6.566054	7.488463	7.689574	8.031782	4.717321	C2
GSM2449805_Treat	7.544032	6.842795	6.403383	7.010103	7.773346	8.37502	4.699379	C1
GSM2449806_Treat	7.237355	6.944514	6.302199	7.349427	7.554921	8.0334	4.731206	C1
GSM2449807_Treat	7.201733	6.813499	6.394674	7.177021	7.620921	8.18162	4.500873	C1
GSM2449808_Treat	7.768012	6.788741	6.346992	7.233668	7.805245	8.413216	4.679955	C1
GSM2449809_Treat	7.42059	6.629348	6.456491	6.997787	7.393029	7.924167	4.936327	C1
GSM2449810_Treat	7.564808	6.940584	6.480893	7.066393	7.776558	8.226147	4.716522	C1
GSM2449811_Treat	7.007741	6.88697	6.692836	7.499853	7.641724	8.088836	4.670453	C2
GSM2449812_Treat	7.209864	7.382864	6.762883	7.973017	7.987608	7.500719	4.494338	C2
GSM2449813_Treat	7.730129	6.660978	6.577837	7.3161	7.930022	8.137585	4.660787	C1
GSM2449814_Treat	7.471909	7.203543	6.362886	8.06187	7.80962	7.795893	4.802377	C2
GSM2449815_Treat	7.159178	6.646419	6.362886	6.618075	7.69619	8.380978	4.717956	C1
GSM2449816_Treat	6.794961	7.133057	6.787035	7.761294	7.663815	7.793161	4.712072	C2
GSM2449817_Treat	7.517554	6.891242	6.621092	7.891217	8.033941	7.589582	4.660609	C2
GSM2449818_Treat	7.785039	6.960283	6.480893	7.664274	8.002405	7.668113	4.690653	C2
