id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2449654_Treat	0.0257534100583242	0	0.00169974647745937	0.0686007037802628	0.114205934127033	0	0.0335956159789353	0	0	0	0.0790386855177016	0	0.209907793841019	0.00456968189955756	0	0	0	0.000648619948143938	0.0081187090805425	0	0	0.453861099291022
GSM2449655_Treat	0.0388794815248402	0	0.00269777439705957	0.107107206474124	0.204613408660562	0	0.0604817406659681	0	0.0104092301830854	0	0.117766935362203	0	0.19584581681721	0	0.0027832254553356	0	0.00712529702726671	0.0102804629197316	0	0	0	0.242009420512613
GSM2449656_Treat	0.0132833421275141	0.0250121007807555	0	0.223173516671197	0.143005399333474	0	0.0527648185399663	0	0	0.109189540378578	0.0353305450426388	0	0.13557167089589	0	0.000591691340796753	0	0	0.00840362025474898	0.001578160907796	0	0	0.252095593726645
GSM2449657_Treat	0.0212039589823043	0.00741750984763154	0.00237838029213778	0.103969940375219	0.141160556653298	0	0.0612298292551432	0	0	0	0.169072167544302	0	0.146523015919249	0	0	0	0	0.00639558161648144	0	0	0	0.340649059514234
GSM2449658_Treat	0.018404543557035	0	0.000858897860758129	0.119425617572063	0.0593101020380719	0	0.0714407157574397	0	0	0.0244362019562409	0.122432870088874	0	0.155700081772323	0.00916028941054629	0	0	0	0.000320531369219696	0.0106814512222611	0	0	0.407828697395167
GSM2449659_Treat	0.000983131803237749	0.0143520158418671	0.0103322978404294	0.0607444694671541	0.0776319827299757	0	0.0498011702546279	0	0	0	0.139010629492603	0	0.211709908312554	0	0	0	0	0.010401852998728	0.00412736200015181	0	0	0.420905179258671
GSM2449660_Treat	0.0219686112219073	0	0	0.216105708770249	0.125714569821875	0	0.0704369639650174	0	0.000441896670799114	0	0.148334894880108	0	0.0924955072638024	0	0	0	0	0.00326531188714225	0.00565142142954606	0	0.0109410419533503	0.304644072136202
GSM2449661_Treat	0.00451994070606233	0.00210644288234249	0.00362452755394713	0.159802990802587	0.121697847492082	0	0.0508710747366748	0	0	0	0.156771501924284	0	0.113607797892731	0	0	0	0	0.00293126096921174	0.000906140380113739	0	0	0.383160474659964
GSM2449662_Treat	0.00742611585597697	0	0.00238797524386346	0.0543813364853385	0.10752020829815	0	0.0262195061346559	0	0	0	0.128158653179129	0	0.200829216089216	0.00507117024188781	0	0	0	7.62166316992979e-05	0.00493154368925963	0	0	0.462998058150823
GSM2449663_Treat	0.0158689590552257	0	0	0.103800379517957	0.0775337817790304	0	0.0718314857551869	0	0	0.108214743300487	0.114505268096673	0	0.236652041711606	0	0	0	0	0.00605929632146004	0.00217418503317639	0	0	0.263359859429198
GSM2449664_Treat	0	0.00781415645605913	0.00137083504071972	0.119839146378801	0.0492426025223122	0	0.0751085484630233	0	0	0	0.182151022498014	0	0.136463171290521	0	0	0	0	0.0167705263369014	0.0028795698248013	0	0	0.408360421188847
GSM2449665_Treat	0.0204838347042141	0	0.000487207373516669	0.295397937999141	0.0137806474587157	0	0.091499647964817	0	0	0.0694825680104351	0.1296862272699	0	0.142432732472745	0	0	0	0	0.00235301412027061	0.00241626902032797	0	0	0.231979913605917
GSM2449666_Treat	0.0273322686021074	0	3.15865823110657e-05	0.171094139307179	0.15298774117118	0	0.0297123325549873	0	0.00792000485876062	0	0.101150985113915	0	0.113567178306093	0	0	0	0	0.00112899292419903	0.0141621431142789	0	0	0.380912627464988
GSM2449667_Treat	0.0305892506481686	0	0.00282007306329825	0.0648448623103603	0.126738286722964	0	0.0299918981870836	0	0.00852763103513603	0	0.0869225240466146	0	0.179073000579574	0.0300862735261648	4.75604181792013e-05	0	0	0	0.00717128111005484	0	0	0.433187358352402
GSM2449682_Treat	0.0096649114350902	0.0045426463793651	0.00326985159281742	0.11230872521248	0.0989441532591077	0	0.0253061006498608	0	0	0	0.0662389761297125	0	0.179182738403437	0.00670439024567542	0	0	0	0	0.00887689174510197	0	0	0.484960614947351
GSM2449683_Treat	0.0439410283302577	0	0	0.107434057737502	0.0700409481539424	0	0.0409061873812135	0	0	0.0628392117123402	0.11394415709073	0	0.141669813436982	0	0	0	0	0.00807149180230891	0.00604966980284608	0	0	0.405103434551878
GSM2449684_Treat	0.0375904349725023	0	0.00221905049459269	0.0627287365787994	0.151871162522677	0	0.0356982388448644	0	0	0	0.136779300104956	0	0.199693153626268	0	0	0	0	0.00207190891284588	0.0227880105943811	0	0	0.348560003348114
